Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 14:00:00 EDT,2020-03-18,14:00:00,Link,107,52,10,39,5,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959109304131809,You'll never look at this stuff the same again after knowing this:,https://www.healthy-holistic-living.com/1-tbsp-apple-cider-vinegar-60-days-can-eliminate-health-problems/?utm_source=HHL&utm_content=34936-XKOS,,,1 TBSP of Apple Cider Vinegar For 60 Days Can Help Eliminate These Health Problems,"Vinegar is not only for cooking, it is one of the most economical and versatile remedies around. Read all the health uses of apple cider vinegar here!",,,,-1.56
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,102179,110460,2020-03-18 13:55:11 EDT,2020-03-18,13:55:11,Link,921,290,57,404,2,76,3,56,33,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2586771144903624,"No animal trials. Rush to market. Vaccine enhancement (VE). [We know VE happened with Dengue Fever vaccine and in the HPV trials...meaning that if someone already had exposure to the virus, their reaction was much worse when getting the vaccine.] From the article: ""Studies have suggested that coronavirus vaccines carry the risk of what is known as vaccine enhancement, where instead of protecting against infection, the vaccine can actually make the disease worse when a vaccinated person is infected with the virus. The mechanism that causes that risk is not fully understood and is one of the stumbling blocks that has prevented the successful development of a coronavirus vaccine.""",https://www.reuters.com/article/us-health-coronavirus-vaccines-insight/as-pressure-for-coronavirus-vaccine-mounts-scientists-debate-risks-of-accelerated-testing-idUSKBN20Y1GZ,,,"As pressure for coronavirus vaccine mounts, scientists debate risks of accelerated testing",Drugmakers are working as quickly as possible to develop a vaccine to combat the...,,,,3.16
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 12:00:41 EDT,2020-03-18,12:00:41,Link,403,200,33,136,28,6,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959108767465196,This is fantastic!,https://www.healthy-holistic-living.com/cannabis-company-designs-pain-patch-for-fibromyalgia-and-nerve-pain/?utm_source=HHL,,,Cannabis Company Designs Pain Patch For Fibromyalgia And Nerve Pain,"Cannabis Science, a California-based company that specializes in developing cannabis-based medicine, has created a one-of-a-kind invention for fibromyalgia and nerve pain.",,,,2.41
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 10:01:01 EDT,2020-03-18,10:01:01,Photo,"3,123",644,76,1211,16,8,1168,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2962910907084982,Lol at this! 🤣,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2962910907084982/?type=3,,Let me guess The toilet paper hoarders are the tide pod eaters' parents,Timeline Photos,,,,,2.1
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 09:00:44 EDT,2020-03-18,09:00:44,Link,195,78,22,86,3,6,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959107164132023,"A daily dose of baking soda may help reduce the destructive inflammation of autoimmune diseases like rheumatoid arthritis, scientists say.",https://www.healthy-holistic-living.com/drinking-baking-soda-inexpensive-safe-way-combat-autoimmune-disease-study.html?utm_source=HHL&utm_content=51847-UCJO,,,"Drinking Baking Soda Could Be an Inexpensive, Safe Way to Combat AutoImmune Disease: Study","Baking soda has been used as a home remedy for generations due to its antacid properties. Yet its benefits run even deeper, and new research may explain why it is an effective aid in the treatment of autoimmune diseases such as arthritis. Baking soda, also called sodium bicarbonate, is a kitchen sta...",,,,1.17
Holistic Hilda,HolisticHilda,985921748210269,PODCAST,,Do you want to improve your health w/o fancy shakes or flashy programs? Holistic Hilda is an expert on ancestral health practices & she can show you how to nurture wellbeing the natural way.,2020-05-01 19:32:09 EDT,N/A,N/A,2020-03-18 08:55:32 EDT,2020-03-18,08:55:32,Live Video Complete,17,9,3,3,2,0,0,0,0,0,owned,Yes,153,243,0,00:12:10,https://www.facebook.com/HolisticHilda/posts/1313729312171333,Love & stretches,https://www.facebook.com/HolisticHilda/videos/1313729312171333/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252FHolisticHilda%2525252525252525252Fvideos%2525252525252525252F1313729312171333%2525252525252525252F,,,,,,,0.89
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,29470,30381,2020-03-18 08:25:22 EDT,2020-03-18,08:25:22,Photo,389,277,20,20,63,0,0,9,0,0,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/1859911334144442,We #believemothers.,https://www.facebook.com/earthley/photos/a.749202208548699/1859910940811148/?type=3,,,,,,,,-1.75
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 07:00:24 EDT,2020-03-18,07:00:24,Photo,442,275,7,107,52,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2962588277117245,Remain Calm,https://www.facebook.com/VegetableJuicing/photos/a.181515575236990/2493352680719923/?type=3,,"""REMAIN CALM, BECAUSE PEACE EQUALS POWER."" -JOYCE MEYER JUICING VEGETABLES #ORGANIFI",Juicing Vegetables,,,,,-3.36
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-03-18 06:00:55 EDT,2020-03-18,06:00:55,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/AutismTreatmentCenter/posts/10157042020108372,,https://www.nytimes.com/2012/07/15/sunday-review/the-ecology-of-disease.html,,,This is a re-share of a post,"This article is from 2012, but so relevant today ... If we fail to understand and take care of the natural world, it can cause a breakdown of ecosystem systems and come back to haunt us in ways we know little about.",,,,0
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 06:00:08 EDT,2020-03-18,06:00:08,Link,"2,782",754,366,1409,11,31,6,203,2,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2958762770833129,Italians are sounding a dire warning for other countries about what could be in store for them if they don’t take the pandemic seriously.,https://www.huffpost.com/entry/italy-coronavirus-united-states_n_5e6ee8d3c5b6bd8156fa29f1?utm_campaign=hp_fb_pages&ncid=fcbklnkushpmg00000063&utm_medium=facebook&utm_source=main_fb&fbclid=IwAR11Aj6aZ0yVpi6pv3FngUmuGXM6Sxo-X6no2D_kxHFAv3DNeh4TgaR55VI,,,Italy Has Been Trying To Send Us A Warning. Will We Listen?,The country with the world's second-worst COVID-19 outbreak is imploring the United States and the rest of the world not to make the same mistakes.,,,,16.66
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 05:00:29 EDT,2020-03-18,05:00:29,Photo,"13,226",1918,289,7930,45,17,3015,8,4,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2962408087135264,Gambling in 2020! 😂,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2962408087135264/?type=3,,,Timeline Photos,,,,,8.89
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 04:00:37 EDT,2020-03-18,04:00:37,Photo,348,212,6,88,39,0,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959180470791359,,https://www.facebook.com/nordicnaturals/photos/a.304118439613611/3926088957416523/?type=3,,"MAKE SURE YOU'RE HAPPY IN REAL LIFE, NOT JUST ON THE INTERNET. UNKNOWN",Nordic Naturals,Just some food for thought.,,,,-4.27
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 03:00:23 EDT,2020-03-18,03:00:23,Photo,33,25,1,3,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2962237770485629,Persevere,https://www.facebook.com/AskDrNandi/photos/a.312022975485597/2122064894481387/?type=3,,Great works are performed not by strength but by Perseverance Samuel Johnson DR.NANDI,"Partha Nandi, MD","Great works are performed not by strength but by perseverance.  - Samuel Johnson
#AskDrNandi #HealthHero #DetroitDoc #AmericasDoc #ParthaNandiMD #Namaste #quoteoftheday #Quote #GoodReads #DailyReminder #KeyToSuccess #BeHappy #LoveYourself #BeYourOwnHealthHero #DrNandiQuote",,,,-45.06
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 02:00:02 EDT,2020-03-18,02:00:02,Photo,488,284,11,141,52,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2962143173828422,Be present,https://www.facebook.com/VegetableJuicing/photos/a.181515575236990/2477955275592997/?type=3,,"""THE SECRET OF HEALTH FOR BOTH MIND AND BODY IS NOT TO MOURN FOR THE PAST, NOT TO WORRY ABOUT THE FUTURE, OR NOT TO ANTICIPATE TROUBLES, BUT TO LIVE THE PRESENT MOMENT WISELY AND EARNESTLY."" -BUDDHA JUICING VEGETABLES #ORGANIFI",Juicing Vegetables,,,,,-3.05
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-18 00:00:56 EDT,2020-03-18,00:00:56,Link,189,96,0,66,9,18,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2934368559939217,This home appliance generates water out of thin air. Learn more about how this works:,https://expand-your-consciousness.com/tech-company-makes-water-from-thin-air-a-desperately-needed-solution-for-drought-and-disaster-relief/,,,Tech Company Makes Water from Thin Air: A Desperately Needed Solution for Drought and Disaster Relief,"These machines pull clean drinking water out of thin air, and they might be a solution to the global water crisis",,,,1.13
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-17 23:00:22 EDT,2020-03-18,23:00:22,Photo,260,178,4,52,26,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2961876803855059,Breathe Deeply,https://www.facebook.com/VegetableJuicing/photos/a.181515575236990/2477954308926427/?type=3,,"""TO INSURE GOOD HEALTH: EAT LIGHTLY, BREATHE DEEPLY, LIVE MODERATELY, CULTIVATE CHEERFULNESS AND MAINTAIN AN INTEREST IN LIFE."" -WILLIAM LONDEN JUICING VEGETABLES #ORGANIFI",Juicing Vegetables,,,,,-5.72
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-17 22:00:08 EDT,2020-03-18,22:00:08,Link,81,39,17,13,0,5,4,1,2,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2961149650594441,Here we go...,https://www.healthy-holistic-living.com/in-defining-moment-san-francisco-to-order-residents-to-stay-home-over-coronavirus/?utm_source=HHL,,,"In 'defining moment,' San Francisco to order residents to stay home over coronavirus","If you are sick or concerned that you may have coronavirus, please contact your health care provider.",,,,-2.06
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912256,1876515,2020-03-17 21:00:46 EDT,2020-03-18,21:00:46,Native Video,24,11,1,6,4,0,2,0,0,0,share,No,4329,53960,0,00:01:22,https://www.facebook.com/healthyholisticliving/posts/2961632300546176,,https://www.facebook.com/WeAreOptimystic/videos/652200908927590/,,,Optimystic,"Your real power is already inside of you - it doesn't rely on one tool or external source.

We get to decide if we are going to step into our power every day.",,,,-5.83
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,102179,110460,2020-03-17 20:30:03 EDT,2020-03-18,20:30:03,Link,150,114,3,25,4,1,0,3,0,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2586035258310546,"The negative effects of toxic pesticides can be far reaching. In addition to being harmful to children's health, they can take a toll on many other life forms. “The wipe-out of bees, dramatic fall in insects and decimation of bird species is harder to spot - but the evidence shows these pesticides are destroying the delicate web of ecosystems we depend on.""",https://theecologist.org/2020/mar/17/calls-mayor-london-ban-pesticides,,,Calls for Mayor of London to ban pesticides,A London nature reserve has been reduced to muddy pits full of dead fish.,,,,-1.94
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912147,1876341,2020-03-17 20:00:01 EDT,2020-03-18,20:00:01,Link,282,99,7,169,4,3,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959105874132152,This deodorant recipe is AMAZING!!! My husband can ride his bike 70 miles in the blazing summer and still no BO! Only 3 ingredients!,https://www.healthy-holistic-living.com/make-natural-deodorant-works/?utm_source=HHL,,,"How to Make Amazing Non-Toxic, Long-Lasting, Organic Deodorant","I’ve tried many brands of all natural store-bought deodorants. Unfortunately, none of them did a great job protecting me from the odor caused by apocrine sweat combined with the bacteria.",,,,1.69
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,102154,110433,2020-03-17 19:30:16 EDT,2020-03-17,19:30:16,YouTube,546,349,9,109,74,1,0,4,0,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2585983554982383,"American children are suffocating under an avalanche of chronic ailments, developmental disabilities and mental health challenges. This chronic illness burden is serious and historically unprecedented. We are living in strange times of illness and censorship of important health issues. Make sure you can by-pass social media to get important updates from us. If you aren't signed up yet, go to https://childrenshealthdefense.org/sign-up/:=:https://childrenshealthdefense.org/about-us/sign-up/ It's free.",https://youtu.be/4vkWebSiB1g,https://www.youtube.com/watch?v=4vkWebSiB1g&feature=youtu.be,,"Children’s Health Defense: Exposing Causes, Seeking Justice, Protecting Children","Children’s Health Defense's mission is to end the childhood health epidemics by working aggressively to eliminate harmful exposures, hold those responsible a...",,,,1.09
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,102154,110433,2020-03-17 18:01:50 EDT,2020-03-17,18:01:50,Link,99,55,4,28,1,2,0,9,0,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2585971878316884,"As schools everywhere are spending exponentially more on special education services than in past generations, the physical and mental health of children continue to suffer. Here is the latest from Anne Dachel, who chronicles the epidemics that currently claim the health of so many children in the U.S. and around the globe. Sign up for FREE updates at ChildrensHealthDefense.org",https://childrenshealthdefense.org/society-costs/march-2020/,,,"March 2020: Injured Kids, Society Costs • Children's Health Defense","The latest from Anne Dachel, who chronicles the epidemics that currently claim the health of so many children in the U.S. and around the globe.",,,,-2.94
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912147,1876341,2020-03-17 18:00:46 EDT,2020-03-17,18:00:46,Link,129,47,13,55,8,3,0,3,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959207437455329,Quarantined Italians Send a Video Message to Themselves 10 Days Ago: What They Wish They Knew Then,https://www.healthy-holistic-living.com/quarantined-italians-send-a-message-to-themselves-10-days-ago-what-they-wish-they-knew-then/?utm_source=HHL,,,Quarantined Italians Send a Message to Themselves 10 Days Ago: What They Wish They Knew Then,"Hopefully in America, we can provide one another support like the Italians have already in these coming days.",,,,-1.29
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912147,1876341,2020-03-17 17:00:23 EDT,2020-03-17,17:00:23,Photo,"5,786",3734,145,791,1033,76,5,1,1,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2961295563913183,Not all heroes wear capes.,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2961295563913183/?type=3,,"EANIL 0:00 f/didysuknowpage @ddyoulnowpag After fighting corona in China, the same medical team is traveling to to fight in Italy. Real Heroes",Timeline Photos,,,,,3.89
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912147,1876341,2020-03-17 16:00:21 EDT,2020-03-17,16:00:21,Link,"2,112",364,148,1043,19,102,1,432,3,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959099297466143,"“I never had any signs until the night… I started coughing,” he said. “That was the first sign and it went downhill in 24 hours, like gangbusters. I woke up several times thinking I was gonna die.”",https://www.healthy-holistic-living.com/coronavirus-patient-speaks-from-hospital-bed-on-social-distancing-stay-away-from-other-people/?utm_source=HHL,,,Coronavirus Patient Speaks from Hospital Bed on Social Distancing: 'Stay Away from Other People',Social distancing is super important right now to slowing the spread of coronavirus.,,,,12.65
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,102154,110433,2020-03-17 15:48:58 EDT,2020-03-17,15:48:58,Link,690,125,48,326,2,80,2,51,56,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2585970001650405,"AirGig will transfer Wi-Fi and wireless data over power lines using 4G LTE and 5G millimeter waves. It turns existing power lines into transmitters. According to AT&T, AirGig could even replace cell towers. What AT&T does not spell out is that AirGig will make it impossible to escape exposure to wireless radiation, even in our homes. AirGig will saturate our environment—every inch of it—with close-proximity, high-intensity radiation. For FREE updates, sign up at ChildrensHealthDefense.org",https://childrenshealthdefense.org/news/5g-airgig-what-is-it-and-should-you-be-worried/,,,5G AirGig: What is It and Should You Be Worried? • Children's Health Defense,"AirGig is a new technology developed by AT&T to transfer Wi-Fi and wireless data over power lines, making it impossible to escape exposure to wireless radiation, even in our homes.",,,,2.37
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,29442,30352,2020-03-17 14:12:47 EDT,2020-03-17,14:12:47,Link,30,20,1,7,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/1859863647482544,"Thrush can be a nightmare for new moms -- and their babies. If you're dealing with it, it might be a sign of gut health issues for you both. Here's how to help, naturally! https://modernalternativemama.com/2018/12/05/get-rid-thrush-naturally/",https://modernalternativemama.com/2018/12/05/get-rid-thrush-naturally/,,,How to Get Rid of Thrush Naturally - Modern Alternative Mama,If your baby has thrush then you'll need to know how to get rid of thrush naturally. Try these easy tips for getting rid of thrush naturally.,,,,-13.3
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-03-17 14:09:12 EDT,2020-03-17,14:09:12,Live Video Complete,3,1,0,1,1,0,0,0,0,0,owned,Yes,27,53,0,00:02:47,https://www.facebook.com/AutismTreatmentCenter/posts/140447564016065,Dropping another atmosphere today in #HBOT with Drs. Sonners of http://HBOTUSA.com:=:https://hbotusa.com/ in #FlorhamPark #NewJersey,https://www.facebook.com/AutismTreatmentCenter/videos/140447564016065/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FAutismTreatmentCenter%2Fvideos%2F140447564016065%2F,,,,,,,-0.73
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912147,1876341,2020-03-17 14:00:06 EDT,2020-03-17,14:00:06,Link,"2,725",872,55,1676,102,18,1,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2959097197466353,These are a hit!,https://www.healthy-holistic-living.com/zucchini-fritters-recipe/?utm_source=HHL,,,Crunchy Zucchini Fritters with Avocado Dill Dip (My Favorite Recipe),"If you've never had the chance to try zucchini fritters! These fritters are unbelievably easy to make, low calorie, and the perfect way to sneak in some veggies.",,,,16.32
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-03-17 13:57:58 EDT,2020-03-17,13:57:58,Live Video Complete,2,2,0,0,0,0,0,0,0,0,owned,Yes,28,28,0,00:01:11,https://www.facebook.com/AutismTreatmentCenter/posts/993898001004006,,https://www.facebook.com/AutismTreatmentCenter/videos/993898001004006/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FAutismTreatmentCenter%2Fvideos%2F993898001004006%2F,,,,,,,-0.82
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-03-17 13:56:36 EDT,2020-03-17,13:56:36,Live Video Complete,2,2,0,0,0,0,0,0,0,0,owned,Yes,20,20,0,00:00:52,https://www.facebook.com/AutismTreatmentCenter/posts/2512347645670927,,https://www.facebook.com/AutismTreatmentCenter/videos/2512347645670927/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FAutismTreatmentCenter%2Fvideos%2F2512347645670927%2F,,,,,,,-0.82
Holistic Hilda,HolisticHilda,985921748210269,PODCAST,,Do you want to improve your health w/o fancy shakes or flashy programs? Holistic Hilda is an expert on ancestral health practices & she can show you how to nurture wellbeing the natural way.,2020-05-01 19:32:09 EDT,N/A,N/A,2020-03-17 12:58:59 EDT,2020-03-17,12:58:59,Native Video,3,3,0,0,0,0,0,0,0,0,owned,Yes,92,92,0,00:00:24,https://www.facebook.com/HolisticHilda/posts/1793058360829933,"Extroverts: those who can’t quite grasp the concept of social distancing. 😆😆😆 In all seriousness, I do. This was a couple of weeks ago at the Fire & Ice 🔥 retreat when I was so full of love 🧡 & good vibes 💫that I couldn’t help but tackle my good friend @nightshiftbiohacker! 😁 I feel the same way today (bursting with 💕&💥) but understand the need to stay apart..for a time. But I still want to CONNECT with you which is why I will be on IG Live & FB Live every morning at 9 a.m. EDT for movement (think: everything from exercise to pillow fights 😀) and motivation (words to give hope & encouragement). 👍 Join me! And consider yourself virtually tackled by love today! 😘🧡🙏",https://www.facebook.com/HolisticHilda/videos/1892552890880694/,,,,,,,,-0.75
